"fips","state","county","population"
0,"US","United States",327167434
01000,"AL","Alabama",4887871
01001,"AL","Autauga County",55601
01003,"AL","Baldwin County",218022
01005,"AL","Barbour County",24881
01007,"AL","Bibb County",22400
01009,"AL","Blount County",57840
01011,"AL","Bullock County",10138
01013,"AL","Butler County",19680
01015,"AL","Calhoun County",114277
01017,"AL","Chambers County",33615
01019,"AL","Cherokee County",26032
01021,"AL","Chilton County",44153
01023,"AL","Choctaw County",12841
01025,"AL","Clarke County",23920
01027,"AL","Clay County",13275
01029,"AL","Cleburne County",14987
01031,"AL","Coffee County",51909
01033,"AL","Colbert County",54762
01035,"AL","Conecuh County",12277
01037,"AL","Coosa County",10715
01039,"AL","Covington County",36986
01041,"AL","Crenshaw County",13824
01043,"AL","Cullman County",83442
01045,"AL","Dale County",48956
01047,"AL","Dallas County",38310
01049,"AL","DeKalb County",71385
01051,"AL","Elmore County",81887
01053,"AL","Escambia County",36748
01055,"AL","Etowah County",102501
01057,"AL","Fayette County",16433
01059,"AL","Franklin County",31363
01061,"AL","Geneva County",26314
01063,"AL","Greene County",8233
01065,"AL","Hale County",14726
01067,"AL","Henry County",17209
01069,"AL","Houston County",104722
01071,"AL","Jackson County",51736
01073,"AL","Jefferson County",659300
01075,"AL","Lamar County",13844
01077,"AL","Lauderdale County",92387
01079,"AL","Lawrence County",32957
01081,"AL","Lee County",163941
01083,"AL","Limestone County",96174
01085,"AL","Lowndes County",9974
01087,"AL","Macon County",18439
01089,"AL","Madison County",366519
01091,"AL","Marengo County",19066
01093,"AL","Marion County",29763
01095,"AL","Marshall County",96109
01097,"AL","Mobile County",413757
01099,"AL","Monroe County",21067
01101,"AL","Montgomery County",225763
01103,"AL","Morgan County",119089
01105,"AL","Perry County",9140
01107,"AL","Pickens County",19938
01109,"AL","Pike County",33338
01111,"AL","Randolph County",22725
01113,"AL","Russell County",57781
01115,"AL","St. Clair County",88690
01117,"AL","Shelby County",215707
01119,"AL","Sumter County",12691
01121,"AL","Talladega County",79828
01123,"AL","Tallapoosa County",40497
01125,"AL","Tuscaloosa County",208911
01127,"AL","Walker County",63711
01129,"AL","Washington County",16378
01131,"AL","Wilcox County",10627
01133,"AL","Winston County",23660
02000,"AK","Alaska",737438
02013,"AK","Aleutians East Borough",3515
02016,"AK","Aleutians West Census Area",5723
02020,"AK","Anchorage Municipality",291538
02050,"AK","Bethel Census Area",18216
02060,"AK","Bristol Bay Borough",877
02068,"AK","Denali Borough",2059
02070,"AK","Dillingham Census Area",5000
02090,"AK","Fairbanks North Star Borough",98971
02100,"AK","Haines Borough",2474
02105,"AK","Hoonah-Angoon Census Area",2151
02110,"AK","Juneau City and Borough",32113
02122,"AK","Kenai Peninsula Borough",58533
02130,"AK","Ketchikan Gateway Borough",13918
02150,"AK","Kodiak Island Borough",13345
02158,"AK","Kusilvak Census Area",8303
02164,"AK","Lake and Peninsula Borough",1587
02170,"AK","Matanuska-Susitna Borough",107610
02180,"AK","Nome Census Area",10008
02185,"AK","North Slope Borough",9872
02188,"AK","Northwest Arctic Borough",7671
02195,"AK","Petersburg Borough",3221
02198,"AK","Prince of Wales-Hyder Census Area",6422
02220,"AK","Sitka City and Borough",8647
02230,"AK","Skagway Municipality",1148
02240,"AK","Southeast Fairbanks Census Area",6918
02261,"AK","Valdez-Cordova Census Area",9164
02275,"AK","Wrangell City and Borough",2503
02282,"AK","Yakutat City and Borough",604
02290,"AK","Yukon-Koyukuk Census Area",5327
04000,"AZ","Arizona",7171646
04001,"AZ","Apache County",71818
04003,"AZ","Cochise County",126770
04005,"AZ","Coconino County",142854
04007,"AZ","Gila County",53889
04009,"AZ","Graham County",38072
04011,"AZ","Greenlee County",9483
04012,"AZ","La Paz County",21098
04013,"AZ","Maricopa County",4410824
04015,"AZ","Mohave County",209550
04017,"AZ","Navajo County",110445
04019,"AZ","Pima County",1039073
04021,"AZ","Pinal County",447138
04023,"AZ","Santa Cruz County",46511
04025,"AZ","Yavapai County",231993
04027,"AZ","Yuma County",212128
05000,"AR","Arkansas",3013825
05001,"AR","Arkansas County",17769
05003,"AR","Ashley County",20046
05005,"AR","Baxter County",41619
05007,"AR","Benton County",272608
05009,"AR","Boone County",37480
05011,"AR","Bradley County",10897
05013,"AR","Calhoun County",5277
05015,"AR","Carroll County",28223
05017,"AR","Chicot County",10438
05019,"AR","Clark County",22061
05021,"AR","Clay County",14847
05023,"AR","Cleburne County",24965
05025,"AR","Cleveland County",8018
05027,"AR","Columbia County",23537
05029,"AR","Conway County",20891
05031,"AR","Craighead County",108558
05033,"AR","Crawford County",63406
05035,"AR","Crittenden County",48342
05037,"AR","Cross County",16676
05039,"AR","Dallas County",7182
05041,"AR","Desha County",11512
05043,"AR","Drew County",18328
05045,"AR","Faulkner County",124806
05047,"AR","Franklin County",17810
05049,"AR","Fulton County",12269
05051,"AR","Garland County",99154
05053,"AR","Grant County",18188
05055,"AR","Greene County",45325
05057,"AR","Hempstead County",21741
05059,"AR","Hot Spring County",33701
05061,"AR","Howard County",13341
05063,"AR","Independence County",37678
05065,"AR","Izard County",13593
05067,"AR","Jackson County",16811
05069,"AR","Jefferson County",68114
05071,"AR","Johnson County",26742
05073,"AR","Lafayette County",6682
05075,"AR","Lawrence County",16434
05077,"AR","Lee County",8985
05079,"AR","Lincoln County",13383
05081,"AR","Little River County",12326
05083,"AR","Logan County",21737
05085,"AR","Lonoke County",73657
05087,"AR","Madison County",16481
05089,"AR","Marion County",16722
05091,"AR","Miller County",43592
05093,"AR","Mississippi County",41239
05095,"AR","Monroe County",6900
05097,"AR","Montgomery County",8924
05099,"AR","Nevada County",8326
05101,"AR","Newton County",7805
05103,"AR","Ouachita County",23606
05105,"AR","Perry County",10352
05107,"AR","Phillips County",18029
05109,"AR","Pike County",10673
05111,"AR","Poinsett County",23974
05113,"AR","Polk County",20049
05115,"AR","Pope County",64000
05117,"AR","Prairie County",8074
05119,"AR","Pulaski County",392680
05121,"AR","Randolph County",17948
05123,"AR","St. Francis County",25439
05125,"AR","Saline County",121421
05127,"AR","Scott County",10319
05129,"AR","Searcy County",7958
05131,"AR","Sebastian County",127753
05133,"AR","Sevier County",17139
05135,"AR","Sharp County",17366
05137,"AR","Stone County",12457
05139,"AR","Union County",39126
05141,"AR","Van Buren County",16603
05143,"AR","Washington County",236961
05145,"AR","White County",78727
05147,"AR","Woodruff County",6490
05149,"AR","Yell County",21535
06000,"CA","California",39557045
06001,"CA","Alameda County",1666753
06003,"CA","Alpine County",1101
06005,"CA","Amador County",39383
06007,"CA","Butte County",231256
06009,"CA","Calaveras County",45602
06011,"CA","Colusa County",21627
06013,"CA","Contra Costa County",1150215
06015,"CA","Del Norte County",27828
06017,"CA","El Dorado County",190678
06019,"CA","Fresno County",994400
06021,"CA","Glenn County",28047
06023,"CA","Humboldt County",136373
06025,"CA","Imperial County",181827
06027,"CA","Inyo County",17987
06029,"CA","Kern County",896764
06031,"CA","Kings County",151366
06033,"CA","Lake County",64382
06035,"CA","Lassen County",30802
06037,"CA","Los Angeles County",10105518
06039,"CA","Madera County",157672
06041,"CA","Marin County",259666
06043,"CA","Mariposa County",17471
06045,"CA","Mendocino County",87606
06047,"CA","Merced County",274765
06049,"CA","Modoc County",8777
06051,"CA","Mono County",14250
06053,"CA","Monterey County",435594
